id,stimulus,excluded,exclusion_reason
LMU_107_A,calibration,i,
LMU_107_A,validation1,i,
LMU_107_A,validation2,i,
LMU_107_A,FAM_LL,i,
LMU_107_A,FAM_LR,i,
LMU_107_A,FAM_RR,i,
LMU_107_A,FAM_RL,i,
LMU_108_A,calibration,x,nodata
LMU_108_A,validation1,i,
LMU_108_A,validation2,i,
LMU_108_A,FAM_LL,i,
LMU_108_A,FAM_LR,i,
LMU_108_A,FAM_RR,i,
LMU_108_A,FAM_RL,i,
LMU_111_A,calibration,i,
LMU_111_A,validation1,i,
LMU_111_A,validation2,i,
LMU_111_A,FAM_LL,i,
LMU_111_A,FAM_LR,i,
LMU_111_A,FAM_RR,i,
LMU_111_A,FAM_RL,i,
LMU_114_B,calibration,i,
LMU_114_B,validation1,i,
LMU_114_B,validation2,i,
LMU_114_B,FAM_LL,i,
LMU_114_B,FAM_LR,i,
LMU_114_B,FAM_RR,i,
LMU_114_B,FAM_RL,i,
LMU_122_A,calibration,i,
LMU_122_A,validation1,i,
LMU_122_A,validation2,i,
LMU_122_A,FAM_LL,i,
LMU_122_A,FAM_LR,i,
LMU_122_A,FAM_RR,i,
LMU_122_A,FAM_RL,i,
LMU_129_B,calibration,i,
LMU_129_B,validation1,i,
LMU_129_B,validation2,i,
LMU_129_B,FAM_LL,i,
LMU_129_B,FAM_LR,i,
LMU_129_B,FAM_RR,i,
LMU_129_B,FAM_RL,i,
LMU_158_B,calibration,i,
LMU_158_B,validation1,x,unattentive
LMU_158_B,validation2,i,
LMU_158_B,FAM_LL,x,unattentive
LMU_158_B,FAM_LR,x,unattentive
LMU_158_B,FAM_RR,i,
LMU_158_B,FAM_RL,x,unattentive
LMU_180_A,calibration,i,
LMU_180_A,validation1,i,
LMU_180_A,validation2,i,
LMU_180_A,FAM_LL,i,
LMU_180_A,FAM_LR,i,
LMU_180_A,FAM_RR,i,
LMU_180_A,FAM_RL,i,
LMU_199_B,calibration,i,
LMU_199_B,validation1,i,
LMU_199_B,validation2,i,
LMU_199_B,FAM_LL,i,
LMU_199_B,FAM_LR,i,
LMU_199_B,FAM_RR,i,
LMU_199_B,FAM_RL,i,
LMU_208_B,calibration,i,
LMU_208_B,validation1,i,
LMU_208_B,validation2,i,
LMU_208_B,FAM_LL,i,
LMU_208_B,FAM_LR,i,
LMU_208_B,FAM_RR,i,
LMU_208_B,FAM_RL,i,
LMU_248_A,calibration,i,
LMU_248_A,validation1,i,
LMU_248_A,validation2,i,
LMU_248_A,FAM_LL,i,
LMU_248_A,FAM_LR,i,
LMU_248_A,FAM_RR,i,
LMU_248_A,FAM_RL,i,
LMU_256_B,calibration,x,all_age
