id,stimulus,excluded,exclusion_reason
LMU_107_A,calibration,i,
LMU_107_A,FAM_LL,i,
LMU_107_A,FAM_LR,i,
LMU_107_A,FAM_RR,i,
LMU_107_A,FAM_RL,i,
LMU_108_A,FAM_LL,i,
LMU_108_A,FAM_LR,i,
LMU_108_A,FAM_RR,i,
LMU_108_A,FAM_RL,i,
LMU_111_A,calibration,i,
LMU_111_A,FAM_LL,i,
LMU_111_A,FAM_LR,i,
LMU_111_A,FAM_RR,i,
LMU_111_A,FAM_RL,i,
LMU_114_B,calibration,i,
LMU_114_B,FAM_LL,i,
LMU_114_B,FAM_LR,i,
LMU_114_B,FAM_RR,i,
LMU_114_B,FAM_RL,i,
LMU_122_A,calibration,i,
LMU_122_A,FAM_LL,i,
LMU_122_A,FAM_LR,i,
LMU_122_A,FAM_RR,i,
LMU_122_A,FAM_RL,i,
LMU_129_B,calibration,i,
LMU_129_B,FAM_LL,i,
LMU_129_B,FAM_LR,i,
LMU_129_B,FAM_RR,i,
LMU_129_B,FAM_RL,i,
LMU_158_B,calibration,i,
LMU_158_B,FAM_RR,i,
LMU_180_A,calibration,i,
LMU_180_A,FAM_LL,i,
LMU_180_A,FAM_LR,i,
LMU_180_A,FAM_RR,i,
LMU_180_A,FAM_RL,i,
LMU_199_B,calibration,i,
LMU_199_B,FAM_LL,i,
LMU_199_B,FAM_LR,i,
LMU_199_B,FAM_RR,i,
LMU_199_B,FAM_RL,i,
LMU_208_B,calibration,i,
LMU_208_B,FAM_LL,i,
LMU_208_B,FAM_LR,i,
LMU_208_B,FAM_RR,i,
LMU_208_B,FAM_RL,i,
LMU_248_A,calibration,i,
LMU_248_A,FAM_LL,i,
LMU_248_A,FAM_LR,i,
LMU_248_A,FAM_RR,i,
LMU_248_A,FAM_RL,i,
LMU_287_A,calibration,x,noface_ic
LMU_287_A,FAM_LL,x,noface_ic
LMU_287_A,FAM_LR,x,noface_ic
LMU_287_A,FAM_RR,x,noface_ic
LMU_287_A,FAM_RL,x,noface_ic
LMU_288_A,FAM_LL,i,
LMU_288_A,FAM_LR,i,
LMU_288_A,FAM_RR,i,
LMU_288_A,FAM_RL,i,
LMU_290_B,calibration,i,
LMU_290_B,FAM_LL,i,
LMU_290_B,FAM_LR,i,
LMU_290_B,FAM_RR,i,
LMU_290_B,FAM_RL,i,
LMU_307_A,FAM_LL,i,
LMU_307_A,FAM_LR,i,
LMU_307_A,FAM_RR,i,
LMU_307_A,FAM_RL,i,
LMU_329_A,calibration,i,
LMU_329_A,FAM_LL,i,
LMU_329_A,FAM_LR,i,
LMU_329_A,FAM_RR,x,noface_ic
LMU_329_A,FAM_RL,x,noface_ic
LMU_355_A,calibration,i,
LMU_355_A,FAM_LL,i,
LMU_355_A,FAM_LR,i,
LMU_355_A,FAM_RR,i,
LMU_355_A,FAM_RL,i,
LMU_369_A,calibration,i,
LMU_369_A,FAM_LL,i,
LMU_369_A,FAM_LR,i,
LMU_369_A,FAM_RR,i,
LMU_369_A,FAM_RL,i,
LMU_372_B,FAM_LL,i,
LMU_372_B,FAM_LR,i,
LMU_372_B,FAM_RR,i,
LMU_372_B,FAM_RL,i,
LMU_379_B,calibration,i,
LMU_379_B,FAM_LL,i,
LMU_379_B,FAM_LR,i,
LMU_379_B,FAM_RR,i,
LMU_379_B,FAM_RL,i,
LMU_412_B,calibration,i,
LMU_412_B,FAM_LL,i,
LMU_412_B,FAM_LR,i,
LMU_412_B,FAM_RR,i,
LMU_412_B,FAM_RL,i,
LMU_418_B,calibration,i,
LMU_418_B,FAM_LL,i,
LMU_418_B,FAM_LR,i,
LMU_418_B,FAM_RR,i,
LMU_418_B,FAM_RL,i,
LMU_421_A,calibration,i,
LMU_421_A,FAM_LL,i,
LMU_421_A,FAM_LR,i,
LMU_421_A,FAM_RR,i,
LMU_421_A,FAM_RL,i,
LMU_439_B,calibration,i,
LMU_439_B,FAM_LL,i,
LMU_439_B,FAM_LR,i,
LMU_439_B,FAM_RR,i,
LMU_439_B,FAM_RL,i,
LMU_447_A,calibration,i,
LMU_447_A,FAM_LL,i,
LMU_447_A,FAM_LR,i,
LMU_447_A,FAM_RR,i,
LMU_447_A,FAM_RL,i,
LMU_456_B,calibration,i,
LMU_456_B,FAM_LL,i,
LMU_456_B,FAM_LR,i,
LMU_456_B,FAM_RR,i,
LMU_456_B,FAM_RL,i,
LMU_465_B,FAM_RR,i,
LMU_466_A,calibration,x,wrongwebcam_ic
LMU_466_A,FAM_LL,x,wrongwebcam_ic
LMU_466_A,FAM_LR,x,wrongwebcam_ic
LMU_466_A,FAM_RR,x,wrongwebcam_ic
LMU_466_A,FAM_RL,x,wrongwebcam_ic
LMU_469_A,calibration,i,
LMU_469_A,FAM_LL,i,
LMU_469_A,FAM_LR,i,
LMU_469_A,FAM_RR,i,
LMU_469_A,FAM_RL,i,
LMU_557_A,calibration,i,
LMU_557_A,FAM_LL,i,
LMU_557_A,FAM_LR,i,
LMU_557_A,FAM_RR,i,
LMU_557_A,FAM_RL,i,
LMU_562_A,calibration,i,
LMU_562_A,FAM_LL,i,
LMU_562_A,FAM_LR,i,
LMU_562_A,FAM_RR,i,
LMU_562_A,FAM_RL,i,
LMU_569_A,calibration,i,
LMU_569_A,FAM_LL,i,
LMU_569_A,FAM_LR,i,
LMU_569_A,FAM_RR,i,
LMU_569_A,FAM_RL,i,
LMU_630_B,calibration,i,
LMU_630_B,FAM_LL,i,
LMU_630_B,FAM_LR,i,
LMU_630_B,FAM_RR,i,
LMU_630_B,FAM_RL,i,
LMU_644_B,calibration,i,
LMU_644_B,FAM_LL,i,
LMU_644_B,FAM_LR,i,
LMU_644_B,FAM_RR,i,
LMU_644_B,FAM_RL,i,
LMU_651_B,calibration,i,
LMU_651_B,FAM_LL,i,
LMU_651_B,FAM_RR,i,
LMU_651_B,FAM_RL,i,
LMU_657_A,calibration,i,
LMU_657_A,FAM_LL,i,
LMU_657_A,FAM_LR,i,
LMU_657_A,FAM_RR,i,
LMU_657_A,FAM_RL,i,
LMU_680_A,calibration,i,
LMU_680_A,FAM_LL,i,
LMU_680_A,FAM_LR,i,
LMU_680_A,FAM_RR,i,
LMU_680_A,FAM_RL,i,
LMU_710_B,FAM_LL,i,
LMU_710_B,FAM_LR,i,
LMU_710_B,FAM_RR,i,
LMU_711_A,calibration,i,
LMU_711_A,FAM_LL,i,
LMU_711_A,FAM_LR,i,
LMU_711_A,FAM_RR,i,
LMU_711_A,FAM_RL,i,
