id,stimulus,excluded,exclusion_reason
LMU_107_A,calibration,,
LMU_107_A,validation1,,
LMU_107_A,validation2,,
LMU_107_A,FAM_LL,,
LMU_107_A,FAM_LR,,
LMU_107_A,FAM_RR,,
LMU_107_A,FAM_RL,,
LMU_108_A,validation1,,
LMU_108_A,validation2,,
LMU_108_A,FAM_LL,,
LMU_108_A,FAM_LR,,
LMU_108_A,FAM_RR,,
LMU_108_A,FAM_RL,,
LMU_111_A,calibration,,
LMU_111_A,validation1,,
LMU_111_A,validation2,,
LMU_111_A,FAM_LL,,
LMU_111_A,FAM_LR,,
LMU_111_A,FAM_RR,,
LMU_111_A,FAM_RL,,
LMU_114_B,calibration,,
LMU_114_B,validation1,,
LMU_114_B,validation2,,
LMU_114_B,FAM_LL,,
LMU_114_B,FAM_LR,,
LMU_114_B,FAM_RR,,
LMU_114_B,FAM_RL,,
LMU_122_A,calibration,,
LMU_122_A,validation1,,
LMU_122_A,validation2,,
LMU_122_A,FAM_LL,,
LMU_122_A,FAM_LR,,
LMU_122_A,FAM_RR,,
LMU_122_A,FAM_RL,,
LMU_129_B,calibration,,
LMU_129_B,validation1,,
LMU_129_B,validation2,,
LMU_129_B,FAM_LL,,
LMU_129_B,FAM_LR,,
LMU_129_B,FAM_RR,,
LMU_129_B,FAM_RL,,
LMU_158_B,calibration,,
LMU_158_B,validation2,,
LMU_158_B,FAM_RR,,
LMU_166_B,calibration,,
LMU_166_B,validation1,,
LMU_166_B,validation2,,
LMU_166_B,FAM_LL,,
LMU_166_B,FAM_LR,,
LMU_166_B,FAM_RR,,
LMU_166_B,FAM_RL,,
LMU_180_A,calibration,,
LMU_180_A,validation1,,
LMU_180_A,validation2,,
LMU_180_A,FAM_LL,,
LMU_180_A,FAM_LR,,
LMU_180_A,FAM_RR,,
LMU_180_A,FAM_RL,,
LMU_199_B,calibration,,
LMU_199_B,validation1,,
LMU_199_B,validation2,,
LMU_199_B,FAM_LL,,
LMU_199_B,FAM_LR,,
LMU_199_B,FAM_RR,,
LMU_199_B,FAM_RL,,
LMU_208_B,calibration,,
LMU_208_B,validation1,,
LMU_208_B,validation2,,
LMU_208_B,FAM_LL,,
LMU_208_B,FAM_LR,,
LMU_208_B,FAM_RR,,
LMU_208_B,FAM_RL,,
LMU_248_A,calibration,,
LMU_248_A,validation1,,
LMU_248_A,validation2,,
LMU_248_A,FAM_LL,,
LMU_248_A,FAM_LR,,
LMU_248_A,FAM_RR,,
LMU_248_A,FAM_RL,,
LMU_287_A,calibration,,
LMU_287_A,validation1,,
LMU_287_A,validation2,,
LMU_287_A,FAM_LL,,
LMU_287_A,FAM_LR,,
LMU_287_A,FAM_RR,,
LMU_287_A,FAM_RL,,
LMU_288_A,validation2,,
LMU_288_A,FAM_LL,,
LMU_288_A,FAM_LR,,
LMU_288_A,FAM_RR,,
LMU_288_A,FAM_RL,,
LMU_290_B,calibration,,
LMU_290_B,validation1,,
LMU_290_B,validation2,,
LMU_290_B,FAM_LL,,
LMU_290_B,FAM_LR,,
LMU_290_B,FAM_RR,,
LMU_290_B,FAM_RL,,
LMU_307_A,FAM_LL,,
LMU_307_A,FAM_LR,,
LMU_307_A,FAM_RR,,
LMU_307_A,FAM_RL,,
LMU_329_A,calibration,,
LMU_329_A,validation1,,
LMU_329_A,validation2,,
LMU_329_A,FAM_LL,,
LMU_329_A,FAM_LR,,
LMU_329_A,FAM_RR,,
LMU_329_A,FAM_RL,,
LMU_355_A,calibration,,
LMU_355_A,validation1,,
LMU_355_A,validation2,,
LMU_355_A,FAM_LL,,
LMU_355_A,FAM_LR,,
LMU_355_A,FAM_RR,,
LMU_355_A,FAM_RL,,
LMU_369_A,calibration,,
LMU_369_A,validation1,,
LMU_369_A,validation2,,
LMU_369_A,FAM_LL,,
LMU_369_A,FAM_LR,,
LMU_369_A,FAM_RR,,
LMU_369_A,FAM_RL,,
LMU_372_B,validation1,,
LMU_372_B,validation2,,
LMU_372_B,FAM_LL,,
LMU_372_B,FAM_LR,,
LMU_372_B,FAM_RR,,
LMU_372_B,FAM_RL,,
LMU_379_B,calibration,,
LMU_379_B,validation1,,
LMU_379_B,validation2,,
LMU_379_B,FAM_LL,,
LMU_379_B,FAM_LR,,
LMU_379_B,FAM_RR,,
LMU_379_B,FAM_RL,,
LMU_412_B,calibration,,
LMU_412_B,validation1,,
LMU_412_B,validation2,,
LMU_412_B,FAM_LL,,
LMU_412_B,FAM_LR,,
LMU_412_B,FAM_RR,,
LMU_412_B,FAM_RL,,
LMU_418_B,calibration,,
LMU_418_B,validation1,,
LMU_418_B,validation2,,
LMU_418_B,FAM_LL,,
LMU_418_B,FAM_LR,,
LMU_418_B,FAM_RR,,
LMU_418_B,FAM_RL,,
LMU_421_A,calibration,,
LMU_421_A,validation1,,
LMU_421_A,validation2,,
LMU_421_A,FAM_LL,,
LMU_421_A,FAM_LR,,
LMU_421_A,FAM_RR,,
LMU_421_A,FAM_RL,,
LMU_439_B,calibration,,
LMU_439_B,validation1,,
LMU_439_B,validation2,,
LMU_439_B,FAM_LL,,
LMU_439_B,FAM_LR,,
LMU_439_B,FAM_RR,,
LMU_439_B,FAM_RL,,
LMU_447_A,calibration,,
LMU_447_A,validation1,,
LMU_447_A,validation2,,
LMU_447_A,FAM_LL,,
LMU_447_A,FAM_LR,,
LMU_447_A,FAM_RR,,
LMU_447_A,FAM_RL,,
LMU_456_B,calibration,,
LMU_456_B,validation2,,
LMU_456_B,FAM_LL,,
LMU_456_B,FAM_LR,,
LMU_456_B,FAM_RR,,
LMU_456_B,FAM_RL,,
LMU_465_B,validation2,,
LMU_465_B,FAM_RR,,
LMU_466_A,calibration,,
LMU_466_A,validation1,,
LMU_466_A,validation2,,
LMU_466_A,FAM_LL,,
LMU_466_A,FAM_LR,,
LMU_466_A,FAM_RR,,
LMU_466_A,FAM_RL,,
LMU_469_A,calibration,,
LMU_469_A,validation2,,
LMU_469_A,FAM_LL,,
LMU_469_A,FAM_LR,,
LMU_469_A,FAM_RR,,
LMU_469_A,FAM_RL,,
LMU_557_A,calibration,,
LMU_557_A,validation2,,
LMU_557_A,FAM_LL,,
LMU_557_A,FAM_LR,,
LMU_557_A,FAM_RR,,
LMU_557_A,FAM_RL,,
LMU_562_A,calibration,,
LMU_562_A,validation1,,
LMU_562_A,validation2,,
LMU_562_A,FAM_LL,,
LMU_562_A,FAM_LR,,
LMU_562_A,FAM_RR,,
LMU_562_A,FAM_RL,,
LMU_569_A,calibration,,
LMU_569_A,validation1,,
LMU_569_A,validation2,,
LMU_569_A,FAM_LL,,
LMU_569_A,FAM_LR,,
LMU_569_A,FAM_RR,,
LMU_569_A,FAM_RL,,
LMU_630_B,calibration,,
LMU_630_B,validation1,,
LMU_630_B,validation2,,
LMU_630_B,FAM_LL,,
LMU_630_B,FAM_LR,,
LMU_630_B,FAM_RR,,
LMU_630_B,FAM_RL,,
LMU_644_B,calibration,,
LMU_644_B,validation1,,
LMU_644_B,validation2,,
LMU_644_B,FAM_LL,,
LMU_644_B,FAM_LR,,
LMU_644_B,FAM_RR,,
LMU_644_B,FAM_RL,,
LMU_651_B,calibration,,
LMU_651_B,validation1,,
LMU_651_B,validation2,,
LMU_651_B,FAM_LL,,
LMU_651_B,FAM_RR,,
LMU_651_B,FAM_RL,,
LMU_657_A,calibration,,
LMU_657_A,validation1,,
LMU_657_A,validation2,,
LMU_657_A,FAM_LL,,
LMU_657_A,FAM_LR,,
LMU_657_A,FAM_RR,,
LMU_657_A,FAM_RL,,
LMU_680_A,calibration,,
LMU_680_A,validation1,,
LMU_680_A,validation2,,
LMU_680_A,FAM_LL,,
LMU_680_A,FAM_LR,,
LMU_680_A,FAM_RR,,
LMU_680_A,FAM_RL,,
LMU_710_B,validation2,,
LMU_710_B,FAM_LL,,
LMU_710_B,FAM_LR,,
LMU_710_B,FAM_RR,,
LMU_711_A,calibration,,
LMU_711_A,validation1,,
LMU_711_A,validation2,,
LMU_711_A,FAM_LL,,
LMU_711_A,FAM_LR,,
LMU_711_A,FAM_RR,,
LMU_711_A,FAM_RL,,
LMU_732_B,calibration,,
LMU_732_B,validation2,,
LMU_732_B,FAM_LL,,
LMU_732_B,FAM_LR,,
LMU_732_B,FAM_RR,,
LMU_732_B,FAM_RL,,
LMU_745_A,calibration,,
LMU_745_A,validation1,,
LMU_745_A,validation2,,
LMU_745_A,FAM_LL,,
