id,stimulus,excluded,exclusion_reason
LMU_815_A,FAM_LL,x,_no_tracker_data
LMU_815_A,FAM_LR,x,_no_tracker_data
LMU_815_A,FAM_RR,x,_no_tracker_data
LMU_108_A,FAM_LR,x,_low_sampling_wg
LMU_108_A,FAM_LL,x,_low_sampling_wg
LMU_108_A,FAM_RR,x,_low_sampling_wg
LMU_108_A,FAM_RL,x,_low_sampling_wg
LMU_307_A,FAM_LR,x,_low_sampling_wg
LMU_307_A,FAM_LL,x,_low_sampling_wg
LMU_307_A,FAM_RR,x,_low_sampling_wg
LMU_307_A,FAM_RL,x,_low_sampling_wg
LMU_569_A,FAM_LR,x,_low_sampling_wg
LMU_569_A,FAM_LL,x,_low_sampling_wg
LMU_569_A,FAM_RR,x,_low_sampling_wg
LMU_569_A,FAM_RL,x,_low_sampling_wg
LMU_657_A,FAM_LR,x,_low_sampling_wg
LMU_842_B,FAM_RL,x,_low_sampling_wg
LMU_842_B,FAM_RR,x,_low_sampling_wg
LMU_842_B,FAM_LL,x,_low_sampling_wg
LMU_842_B,FAM_LR,x,_low_sampling_wg
LMU_883_A,FAM_LR,x,_low_sampling_wg
LMU_883_A,FAM_LL,x,_low_sampling_wg
LMU_883_A,FAM_RR,x,_low_sampling_wg
LMU_883_A,FAM_RL,x,_low_sampling_wg
LMU_948_A,FAM_LR,x,_low_sampling_wg
LMU_968_A,FAM_LR,x,_low_sampling_wg
LMU_968_A,FAM_LL,x,_low_sampling_wg
LMU_968_A,FAM_RR,x,_low_sampling_wg
LMU_968_A,FAM_RL,x,_low_sampling_wg
LMU_992_A,FAM_LR,x,_low_sampling_wg
LMU_992_A,FAM_LL,x,_low_sampling_wg
LMU_992_A,FAM_RR,x,_low_sampling_wg
LMU_992_A,FAM_RL,x,_low_sampling_wg
LMU_107_A,FAM_LL,i,
LMU_107_A,FAM_LR,i,
LMU_107_A,FAM_RR,i,
LMU_107_A,FAM_RL,i,
LMU_111_A,FAM_LL,i,
LMU_111_A,FAM_LR,i,
LMU_111_A,FAM_RR,i,
LMU_111_A,FAM_RL,i,
LMU_114_B,FAM_LL,i,
LMU_114_B,FAM_LR,i,
LMU_114_B,FAM_RR,i,
LMU_114_B,FAM_RL,i,
LMU_122_A,FAM_LL,i,
LMU_122_A,FAM_LR,i,
LMU_122_A,FAM_RR,i,
LMU_122_A,FAM_RL,i,
LMU_129_B,FAM_LL,i,
LMU_129_B,FAM_LR,i,
LMU_129_B,FAM_RR,i,
LMU_129_B,FAM_RL,i,
LMU_158_B,FAM_RR,i,
LMU_166_B,FAM_LL,i,
LMU_166_B,FAM_LR,i,
LMU_166_B,FAM_RR,i,
LMU_166_B,FAM_RL,i,
LMU_180_A,FAM_LL,i,
LMU_180_A,FAM_LR,i,
LMU_180_A,FAM_RR,i,
LMU_180_A,FAM_RL,i,
LMU_199_B,FAM_LL,i,
LMU_199_B,FAM_LR,i,
LMU_199_B,FAM_RR,i,
LMU_199_B,FAM_RL,i,
LMU_208_B,FAM_LL,i,
LMU_208_B,FAM_LR,i,
LMU_208_B,FAM_RR,i,
LMU_208_B,FAM_RL,i,
LMU_248_A,FAM_LL,i,
LMU_248_A,FAM_LR,i,
LMU_248_A,FAM_RR,i,
LMU_248_A,FAM_RL,i,
LMU_287_A,FAM_LL,i,
LMU_287_A,FAM_LR,i,
LMU_287_A,FAM_RR,i,
LMU_287_A,FAM_RL,i,
LMU_288_A,FAM_LL,x,tracking_wg
LMU_288_A,FAM_LR,i,
LMU_288_A,FAM_RR,x,tracking_wg
